time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
3.0,0.07,0.98,0.10,-0.42,-0.11,1.55,0.13,0.11,0.85,973.61
3.049,0.18,1.04,-0.21,-0.42,-0.11,1.55,0.13,0.11,0.85,973.61
3.055,0.18,1.04,-0.21,-0.42,-0.11,1.55,0.24,-0.18,0.82,973.61
3.058,0.18,1.04,-0.21,0.09,0.59,-1.20,0.24,-0.18,0.82,973.61
3.1,-0.00,0.99,-0.13,0.09,0.59,-1.20,0.24,-0.18,0.82,973.61
3.103,-0.00,0.99,-0.13,0.09,0.59,-1.20,0.12,0.16,0.42,973.61
3.105,-0.00,0.99,-0.13,0.09,0.59,-1.20,0.12,0.16,0.42,973.61
3.107,-0.00,0.99,-0.13,-1.80,0.07,-0.25,0.12,0.16,0.42,973.61
3.161,0.05,0.99,-0.16,-1.80,0.07,-0.25,0.12,0.16,0.42,973.61
3.164,0.05,0.99,-0.16,-1.80,0.07,-0.25,0.21,0.06,0.42,973.61
3.167,0.05,0.99,-0.16,-1.20,0.13,-0.44,0.21,0.06,0.42,973.61
3.223,0.07,0.99,-0.11,-1.20,0.13,-0.44,0.21,0.06,0.42,973.61
3.225,0.07,0.99,-0.11,-1.20,0.13,-0.44,0.24,0.08,0.29,973.61
3.227,0.07,0.99,-0.11,-1.04,0.14,0.17,0.24,0.08,0.29,973.61
3.282,0.08,0.99,-0.18,-1.04,0.14,0.17,0.24,0.08,0.29,973.61
3.286,0.08,0.99,-0.18,-1.04,0.14,0.17,0.17,0.18,0.43,973.61
3.288,0.08,0.99,-0.18,-1.04,0.14,0.17,0.17,0.18,0.43,973.60
3.29,0.08,0.99,-0.18,-1.04,0.13,-0.46,0.17,0.18,0.43,973.60
3.348,0.03,1.03,-0.24,-1.04,0.13,-0.46,0.17,0.18,0.43,973.60
3.351,0.03,1.03,-0.24,-1.04,0.13,-0.46,0.04,0.29,0.62,973.60
3.352,0.03,1.03,-0.24,-1.76,0.60,-0.94,0.04,0.29,0.62,973.60
3.402,0.02,0.99,-0.26,-1.76,0.60,-0.94,0.04,0.29,0.62,973.60
3.405,0.02,0.99,-0.26,-1.76,0.60,-0.94,-0.29,0.47,1.36,973.60
3.407,0.02,0.99,-0.26,-2.12,0.32,-1.09,-0.29,0.47,1.36,973.60
3.463,-0.01,1.12,-0.30,-2.12,0.32,-1.09,-0.29,0.47,1.36,973.60
3.466,-0.01,1.12,-0.30,-2.12,0.32,-1.09,-0.77,1.24,2.12,973.60
3.468,-0.01,1.12,-0.30,-2.12,0.32,-1.09,-0.77,1.24,2.12,973.60
3.471,-0.01,1.12,-0.30,-3.91,1.93,-2.13,-0.77,1.24,2.12,973.60
3.52,0.38,1.84,0.21,-3.91,1.93,-2.13,-0.77,1.24,2.12,973.60
3.522,0.38,1.84,0.21,-3.91,1.93,-2.13,-0.79,0.05,2.54,973.60
3.524,0.38,1.84,0.21,-1.07,9.44,2.30,-0.79,0.05,2.54,973.60
3.588,0.00,1.50,-0.18,-1.07,9.44,2.30,-0.79,0.05,2.54,973.60
3.593,0.00,1.50,-0.18,-1.07,9.44,2.30,-0.84,0.10,2.87,973.60
3.595,0.00,1.50,-0.18,-5.66,6.67,-1.87,-0.84,0.10,2.87,973.60
3.669,0.00,1.50,-0.18,-5.66,6.67,-1.87,0.04,1.06,2.01,973.60
3.676,0.00,1.50,-0.18,-5.66,6.67,-1.87,0.04,1.06,2.01,973.61
3.678,0.83,0.94,-0.22,-5.66,6.67,-1.87,0.04,1.06,2.01,973.61
